Dataset,Description,Location,Source organisation,Purpose,Format,Spatial resolution,Spatial coverage,Temporal resolution,Temporal coverage,Variables,License,DOI,URLs,Prepared by,Preparation steps,Notes
NSW fire history,Agency fire history (State govt),data/fire_history/NSW_fire_npwsfirehistory.zip,NSW Department of Planning and Environment,Record of planned burns and wildfires,Shapefile,,NSW,,1988-2023,,Creative Commons Attribution 4.0,,https://datasets.seed.nsw.gov.au/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,J Silver,,
SA fire history,Agency fire history (State govt),data/fire_history/SA_FIREMGT_FireHistory_shp.zip,SA Department for Environment and Water,Record of planned burns and wildfires,Shapefile,,SA,,1986-2023,"See the ""Attributes"" table in https://location.sa.gov.au/LMS/Reports/ReportMetadata.aspx?p_no=1159&pu=y&pa=dewnr",Creative Commons Attribution 4.0,,https://data.sa.gov.au/data/dataset/fire-history   and   https://location.sa.gov.au/LMS/Reports/ReportMetadata.aspx?p_no=1159&pu=y&pa=dewnr,J Silver,,Seems to appear in two projections: GDA2020 and GDA94
VIC fire history,Agency fire history (State govt),data/fire_history/VIC_fire-history-records-of-fires.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)",Record of planned burns and wildfires,Shapefile,,VIC,,1991-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/d817f3be-a7a2-5847-9944-c0f2fdb39444/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/fire-history-records-of-fires-across-victoria1   and    https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/d817f3be-a7a2-5847-9944-c0f2fdb39444/formatters/sdm-html?root=html&output=html,J Silver,,
VIC fire past count,Agency fire history (State govt),data/fire_history/VIC_fire-history-showing-the-number-of-times-areas-have-been-burnt.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)","Fire History showing the number of times areas have been burnt, based on mapped fire history (scars)",Shapefile,,VIC,,1988-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/9d162aff-94cb-54fd-ab8b-b94abde16239/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/fire-history-showing-the-number-of-times-areas-have-been-burnt-based-on-mapped-fire-history-sca2 and https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/9d162aff-94cb-54fd-ab8b-b94abde16239/formatters/sdm-html?root=html&output=html,J Silver,,
VIC fire severity,Agency fire history (State govt),data/fire_history/VIC_aggregated-fire-severity-classes-from-1998-onward1.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)",Aggregated Fire Severity Classes,Shapefile,,VIC,,1991-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/ab51cc60-38f9-5a40-acfd-08b6a79514f9/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/aggregated-fire-severity-classes-from-1998-onward1  and  https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/ab51cc60-38f9-5a40-acfd-08b6a79514f9/formatters/sdm-html?root=html&output=html,J Silver,,
Climate classification based on vegetation (Koeppen): major classes,Climate classification,data/climate_classification/kpngrp.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_kpngrp.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=kpngrp,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on vegetation (Koeppen): all classes,Climate classification,data/climate_classification/kpn.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_kpn.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=kpn,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on seasonal rainfall: all zones,Climate classification,data/climate_classification/seasb.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1900-1999 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_seasb.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=seasb,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on seasonal rainfall: major groups,Climate classification,data/climate_classification/seasgrpb.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1900-1999 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_seasgrpb.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=seasgrpb,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on temperature/humidity zones,Climate classification,data/climate_classification/tmp_zones.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_tmp_zones.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=zones,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Forests of Australia - 2018,Forest cover and classification,data/FC,Australian Government Department of Agriculture and Water Resources - Australian Bureau of Agricultural and Resource Economics and Sciences (ABARES),Vegetation classification,Shapefile (raster) and NetCDF (gridded),100m x 100m,Aus,Static,"Published in 2018, based on other datasets mostrly spanning 2013-2016",See https://www.agriculture.gov.au/sites/default/files/abares/forestsaustralia/documents/datasets/sofr2018/Forests_of_Australia_2018_Lookup_tables.pdf,Creative Commons Attribution 4.0,http://www.doi.org/10.25814/5c59170ec780d,https://www.agriculture.gov.au/abares/forestsaustralia/forest-data-maps-and-tools/spatial-data/forest-cover,J Silver,"The netCDF files were generated by unzipping the shapefile bundles, converting from geoTIFF format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks (specifying the chunk sizes for each dimension). The file aus_for18.tif.ovr was converted to aus_for18_ovr.nc and aus_for18.tif to aus_for18.nc",
ERA5,Historical weather data (reanalysis),era5/australia/$var/$yyyy/$var_era5_oper_sfc_$yyyy$mm$dstart-$yyyy$mm$dend.nc,ECMWF ,Surface weather data,NetCDF (gridded),0.25 x 0.25 degrees,Aus,Hourly,2000-2023,"The extracted variables are as follows. fg10:""10 metre wind gust since previous post-processing""; u10:""10 metre U wind component""; v10:""10 metre V wind component""; d2m:""2 metre dewpoint temperature""; t2m:""2 metre temperature""; blh:""Boundary layer height""; cape:""Convective available potential energy""; lsm:""Land-sea mask""; mcpr:""Mean convective precipitation rate""; mlspr:""Mean large-scale precipitation rate""; mtpr:""Mean total precipitation rate""; swvl1:""Volumetric soil water layer 1"". Further descriptions available at https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=overview","Non-restrictive (""free of charge, worldwide, non-exclusive, royalty free and perpetual"") - see: https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf",DOI: 10.24381/cds.adbb2d47,https://www.ecmwf.int/en/forecasts/dataset/ecmwf-reanalysis-v5 and https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=overview,J Silver,Spatial subsetting to the Australian region (using ncks),"Processing was undertaken on NCI, on the /g/data/rt52/era5/single-levels/reanalysis dataset. See https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f8878_3654_0839_6504"
AGCD,Australian Gridded Climate Data (AGCD) v1.0.1/ Australian Water Availability Project (AWAP),precip/calib/r005/01day/agcd_v1_precip_calib_r005_daily_$yyyy.nc and $var/mean/r005/01day/agcd_v1_$var_mean_r005_daily_$year.nc,"BoM (the project was a partnership between the Bureau of Rural Sciences, CSIRO, and the Bureau of Meteorology)","Surface weather data: gridded temperature, rainfall, humidity",NetCDF (gridded),0.05 x 0.05 degrees,Aus,Daily,2000-2020,"The extracted variables are as follows. precip:""Daily precipitation"" ; tmax:""Daily maximum air temperature"" ; tmin:""Daily minimum air temperature"". The last of these is provided at 9am (""h09"") and 3pm (""h15""). See the global attributes embedded in the netCDF files.",Creative Commons Attribution 4.0,DOI: 10.25914/hjqj-0x55,https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f1801_8183_3094_1341,J Silver,,Copied from the NCI's data holdings (see https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f1801_8183_3094_1341)
BARRA (V1),Historical weather data (reanalysis),data/weather/barra,BoM,Surface weather data,NetCDF (gridded),Approximately 12km resolution,Aus,Hourly,2000-2018,"The extracted variables are as follows. av_abl_ht:""Height above ground level of the top of the planetary boundary layer"" ; av_lat_hflx:""Latent heat flux at the surface"" ; av_lwsfcdown:""Downward flux of longwave radiation at the ground or ocean surface"" ; av_oswrad_flx:""Outgoing shortwave radiation flux at the top of the atmosphere"" ; av_qsair_scrn:""Atmospheric specific humidity at 1.5m above-ground-level (screen level)"" ; av_sens_hflx:""Sensible heat flux at the surface"" ; av_sfc_mois_flx:""Total moisture flux at the surface"" ; av_sfc_sw_dif:""Downward diffuse shortwave radiation flux at the surface"" ; av_sfc_sw_dir:""Downward direct shortwave radiation flux at the surface"" ; av_swsfcdown:""Downward flux of shortwave radiation at the ground or ocean surface"" ; av_temp_scrn:""Atmospheric air temperature at 1.5m above ground-level (screen level)"" ; av_ttl_cld:""Total cloud coverage calculated with a maximum-random overlap assumption"" ; av_uwnd10m:""Zonal (U) component of the wind velocity at 10m above-ground-level"" ; av_vwnd10m:""Meridional (V) component of the wind velocity at 10m above-ground-level"" ; av_wndgust10m:""Gust windspeed at 10m above-ground-level"" ; dewpt_scrn:""Dewpoint temperature at 1.5m above ground level (screen level)"".",Creative Commons Attribution 4.0,DOI: 10.25914/6198bcb35c1c9,http://www.bom.gov.au/research/projects/reanalysis/,J Silver,,Copied from the NCI's data holdings (see https://geonetwork.nci.org.au/geonetwork/srv/eng/catalog.search#/metadata/f2420_7266_3556_7996
Digital elevation model at 9 arcsecond (~250m) resolution,Gridded topography/elevation,data/DEM/DEM-9S_ESRI.zip and data/DEM/dem-9s.nc,"Bioregional Assessment Program: The Australian Government's bioregional assessments programs are a collaboration between the Department of Agriculture, Water and the Environment, the Bureau of Meteorology, CSIRO and Geoscience Australia.",Map of surface topography/elevation,Shapefile (raster) and NetCDF (gridded),9 arcsecond (~250m),Aus,Static,"Created 2019, updated 2022",The 'Band1' variable in the netCDF file is the height above sea level in metres.,Creative Commons Attribution 3.0,,https://data.gov.au/data/dataset/ebcf6ca2-513a-4ec7-9323-73508c5d7b93,J Silver,"The netCDF files were generated by unzipping the shapefile bundles, converting from geoTIFF format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks (specifying the chunk sizes for each dimension).",
Digital elevation model at 3 arcsecond (~90m) resolution,Gridded topography/elevation,data/DEM/3secSRTM_DEM.zip,"Bioregional Assessment Program: The Australian Government's bioregional assessments programs are a collaboration between the Department of Agriculture, Water and the Environment, the Bureau of Meteorology, CSIRO and Geoscience Australia.",Map of surface topography/elevation,Shapefile (raster),3 arcsecond (~90m),Aus,Static,"Created 2019, updated 2022",,Creative Commons Attribution 4.0,,https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/69888,J Silver,,
ALUM 2015-16 ,"Land use of Australia raster package, 2015-2016 edition",data/ALUM/nlum_alumv8_250m_2015_16_alb.zip,ABARES (Australian Bureau of Agricultural and Resource Economics and Sciences),Land-use classification,Shapefile (raster),~250m,Aus,Static,Based on source data from around 2015-2016 (published 2022),,Creative Commons Attribution 3.0,,https://www.agriculture.gov.au/abares/aclump/land-use/alum-classification,J Silver,,
Remotely sensed fire locations - geostationary only,"Remotely sensed fire locations, Himawari-8, Wildfire Automated Biomass Burning Algorithm (WF_ABBA) processing",data/hotspot/ahiwfabba-all-csv.zip,Geoscience Australia,Remote mapping of fire locations and intensities,Compressed CSV,~2km,Aus,~10min,Jul 2015 to May 2020,"The relevant ones are as follows: satellite, latitude,longitude,temp_kelvin,power,confidence,datetime. The geocoordinates are for the centre of the ~2km pixels.",Creative Commons Attribution 4.0,,https://hotspots.dea.ga.gov.au/files/historic   for the dataset and    https://www.ssd.noaa.gov/PS/FIRE/Layers/ABBA/abba_2008Aug21.html for the processing,J Silver,,Product description available at: https://hotspots.dea.ga.gov.au/files/documents
Remotely sensed fire locations - geostationary and orbiting sensors,"Remotely sensed fire locations: MODIS (Terra+AQUA), VIIRS (NOAA20+Suomi NPP), AVHRR (NOAA19), Himawari 8/9",data/hotspot/all-data-csv.zip,Geoscience Australia,Remote mapping of fire locations and intensities,Compressed CSV,Between 375m (VIIRS) and 2km (Himawari),Aus,,2002-2023,"The relevant ones are as follows: satellite, latitude,longitude,temp_kelvin,power,confidence,datetime. The geocoordinates are for the centre of the ~2km pixels.",Creative Commons Attribution 4.0,,https://hotspots.dea.ga.gov.au/files/historic,J Silver,,Product description available at: https://hotspots.dea.ga.gov.au/files/documents
Remotely sensed fire locations - AVHRR sensors only,,data/hotspot/avhrr-ga-all-csv.zip,Geoscience Australia,Remote mapping of fire locations and intensities,Compressed CSV,~1km,Aus,,2006-2023,"The relevant ones are as follows: satellite, latitude,longitude,temp_kelvin,power,confidence,datetime. The geocoordinates are for the centre of the ~2km pixels.",Creative Commons Attribution 4.0,,https://hotspots.dea.ga.gov.au/files/historic,J Silver,,Product description available at: https://hotspots.dea.ga.gov.au/files/documents
IBRA,"Interim Biogeographic Regionalisation for Australia (IBRA), Version 7 ",data/LUC/IBRA/*.zip,"Department of Climate Change, Energy, the Environment and Water",Classification of terrestrial ecosystems,Shapefile,,Aus,Static,Published in 2020,,Creative Commons Attribution 3.0,,https://www.dcceew.gov.au/environment/land/nrs/science/ibra,J Silver,,
MCD12C1,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 0.05 Deg CMG,data/LUC/MCD12C1/MCD12C1.061.nc,NASA & USGS,Land-cover maps,NetCDF (gridded),0.05 degree grid,Aus,Annual,2001-2021,"See the ""Layers"" tab on https://lpdaac.usgs.gov/products/mcd12c1v061/",?? seems to be free ?? Maybe someone can follow up??,10.5067/MODIS/MCD12C1.061,https://lpdaac.usgs.gov/products/mcd12c1v061/,J Silver,Extracted via the USGS OpenDAP API,"This provides three different land-use classifications: based on IGBP classes (0-16), UMD classes (0-15), and LAI classes (0-10). Class descriptions are provided in the variable attributes in the netCDF files."
NVIS major groups,National Vegetation Information System (NVIS) Version 6.0 - AUSTRALIA - Extant Vegetation - major groups,"data/LUC/NVIS/{FGDB,SHP}_{ACT,NSW,NT,QLD,TAS,VIC}_EXT.zip ","Department of Climate Change, Energy, the Environment and Water",,Shapefile (vector),,Aus,Static,Published in 2020,,Creative Commons Attribution 4.0,,https://www.dcceew.gov.au/environment/land/native-vegetation/national-vegetation-information-system/data-products    and   http://environment.gov.au/fed/catalog/search/resource/details.page?uuid=%7Bab942d6d-9efd-4cf2-bec7-4c1521b83803%7D,J Silver,,
NVIS major subgroups (gridded),National Vegetation Information System (NVIS) Version 6.0 - AUSTRALIA - Extant Vegetation - major subgroups (gridded),"data/LUC/NVIS/{FGDB,GRID}_NVIS6_0_AUST_EXT_MVG.zip","Department of Climate Change, Energy, the Environment and Water",,Shapefile (raster),~100m,Aus,Static,Published in 2020,,Creative Commons Attribution 4.0,,https://www.dcceew.gov.au/environment/land/native-vegetation/national-vegetation-information-system/data-products    and   http://environment.gov.au/fed/catalog/search/resource/details.page?uuid=%7B3F8AD12F-8300-45EC-A41A-469519A94039%7D,J Silver,,
Australian population - gridded,Australian population grid 2022 in GeoTIFF format,data/population_grid,Australian Bureau of Statistics,Gridded population count,,1km,Aus,Static,2022,,Creative Commons Attribution 4.0,,https://www.abs.gov.au/statistics/people/population/regional-population/latest-release#data-downloads,J Silver,,
Australian State and Territory boundaries,Australian State and Territory boundaries,data/boundaries,Australian Bureau of Statistics,Australian State and Territory boundaries,Shapefile (vector),,Aus,Static,Published in 2021,,Creative Commons Attribution 4.0,,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,J Silver,,
Australian roads network,OpenStreetMap - Road Network (Australia) 2020,data/roads,OpenStreetMap/Geofabrik/AURIN,,GeoJSON,,Aus,Static,Extracted in 2020,"See the ""Attribute List"" on https://data.aurin.org.au/dataset/osm-osm-roads-2020-na",Copyright OpenStreetMap 2020,,https://data.aurin.org.au/dataset/osm-osm-roads-2020-na,J Silver,,
